local_queue,uav_queue,energy_user,energy_uav,delay,weightedE,off_b,local_a,remote_c
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.6,0.0,8.996431259800092,0.0,0.6,8.996431259800092,8.7,0.9,0.0
6.2,8.7,15.615496019029843,0.7000000000000001,1.0208333333333335,15.685496019029843,2.7,2.6,1.4
10.3,10.0,43.078846781658925,2.7874999999999996,1.4,43.35759678165893,6.3,3.1,2.5
11.6,13.8,39.81998385203684,17.1,1.7550000000000001,41.52998385203684,7.1,3.2,4.2
9.6,16.7,26.032582389377882,5.45,2.010416666666667,26.577582389377884,2.3,2.3,3.4
12.5,15.6,40.58337170068542,22.225,2.225,42.805871700685415,4.6,4.1,5.0
13.8,15.2,39.70058967673907,12.024999999999999,2.4,40.90308967673907,7.0,3.2,3.8
11.9,18.4,26.658172360763317,44.225,2.5541666666666667,31.080672360763316,4.3,3.8,6.4
12.2,16.3,39.45634007438561,16.45,2.655,41.10134007438561,3.4,4.3,4.4
10.6,15.3,39.265122659430816,46.15000000000001,2.7079545454545455,43.88012265943082,2.9,3.8,6.2
11.1,12.0,25.223163566881762,1.9,2.7229166666666673,25.413163566881764,6.2,3.1,2.0
10.9,16.2,41.117549820019335,1.45,2.7740384615384612,41.26254982001934,5.4,3.6,2.0
11.3,19.6,61.698943972235064,39.512499999999996,2.851785714285714,65.65019397223506,2.1,6.0,6.5
12.7,15.2,29.958547018907037,37.325,2.8941666666666666,33.691047018907035,7.0,3.6,6.4
9.0,15.8,16.190245524999686,3.7624999999999997,2.90703125,16.566495524999684,3.6,2.0,2.5
9.7,16.9,33.85215469803954,12.049999999999997,2.931617647058824,35.05715469803954,3.1,4.0,4.0
9.1,16.0,45.85856248817296,40.074999999999996,2.9430555555555555,49.86606248817296,1.1,4.9,5.6
12.7,11.5,48.995320161387816,0.6375000000000001,2.9473684210526314,49.059070161387815,6.5,4.4,1.5
8.6,16.5,18.89903870220761,5.35,2.956875,19.43403870220761,4.3,2.4,3.2
10.2,17.6,57.228379146901496,2.375,2.981547619047619,57.46587914690149,1.3,5.6,2.2
8.3,16.7,17.34472319412317,38.0625,2.9880681818181816,21.150973194123168,2.3,2.5,6.3
9.5,12.7,20.98012138356509,5.6875,2.9788043478260873,21.548871383565093,6.1,2.8,2.9
7.5,15.9,27.48075400333951,51.287499999999994,2.9765625,32.60950400333951,3.4,4.0,6.5
8.4,12.8,45.345016077049934,9.3375,2.9635,46.27876607704994,2.4,5.0,3.9
9.8,11.3,31.146251198656415,0.9000000000000001,2.9509615384615384,31.236251198656415,3.6,3.3,1.8
10.9,13.1,36.37900143004939,2.3125,2.952777777777778,36.610251430049395,5.0,3.4,2.3
10.5,15.8,41.86985490990962,5.675000000000001,2.9647321428571427,42.43735490990962,1.0,4.1,3.4
12.1,13.4,33.02014850525119,0.9125,2.972413793103448,33.111398505251195,5.8,2.8,1.9
11.6,17.3,40.63629356244972,17.875,2.99375,42.423793562449724,5.7,3.9,4.4
9.4,18.6,18.654322852799766,41.4125,3.0100806451612905,22.795572852799765,4.2,2.2,6.1
10.9,16.7,42.44368721285835,39.237500000000004,3.023828125,46.36743721285835,3.5,4.3,6.1
11.3,14.1,41.126968147736264,16.8,3.028409090909091,42.806968147736264,4.5,3.9,4.8
12.7,13.8,49.89194528983782,1.0625,3.0367647058823533,49.998195289837824,6.2,3.9,1.9
10.0,18.1,32.461396108107586,29.1875,3.0503571428571425,35.38014610810759,4.3,3.2,5.5
11.8,16.9,26.111316138487446,33.300000000000004,3.0652777777777778,29.441316138487448,3.3,2.0,6.0
16.5,14.2,54.69321406919205,20.1125,3.0861486486486487,56.70446406919205,9.2,4.9,4.9
9.4,18.5,30.45966501569057,5.9125000000000005,3.0967105263157895,31.05091501569057,2.7,4.0,2.9
13.1,18.3,53.06446141336012,21.000000000000004,3.117948717948718,55.16446141336012,5.3,4.5,4.2
11.4,19.4,79.27499999999998,42.68750000000001,3.13625,83.54374999999997,0.0,7.2,6.7
13.1,12.7,53.96037232436144,0.9000000000000001,3.138414634146341,54.05037232436144,4.9,4.9,1.8
9.5,15.8,38.386180448031176,43.6,3.1389880952380955,42.746180448031176,2.6,3.3,6.2
10.8,12.2,37.3702600870612,1.9875,3.132848837209303,37.569010087061194,3.0,3.9,2.1
10.8,13.1,52.0340546939487,8.05,3.129545454545455,52.8390546939487,3.4,4.5,3.2
12.1,13.3,57.98463486142339,5.0125,3.1305555555555555,58.485884861423386,6.1,5.0,2.9
12.3,16.5,63.538526443960954,16.712500000000002,3.140760869565218,65.20977644396095,2.4,5.4,4.1
12.1,14.8,54.593657570324915,65.7875,3.1454787234042554,61.172407570324914,4.2,4.7,7.9
12.0,11.1,16.226120130329978,6.200000000000001,3.1401041666666667,16.84612013032998,7.9,1.7,2.8
9.1,16.2,18.82737738318901,5.137500000000001,3.1405612244897965,19.34112738318901,4.0,2.5,2.7
11.7,17.5,41.40141983696403,5.5249999999999995,3.15075,41.95391983696403,4.9,4.2,2.8
11.9,19.6,64.59747432979259,36.0,3.1661764705882347,68.19747432979258,1.4,6.1,6.0
11.7,15.0,47.77911337227291,1.15,3.169471153846154,47.89411337227291,3.0,4.8,2.0
13.3,16.0,58.08413273643183,5.25,3.1787735849056604,58.60913273643183,6.3,5.1,3.0
8.6,19.3,6.878387960763685,5.250000000000001,3.184490740740741,7.403387960763685,1.4,1.5,3.0
15.1,17.7,62.69438886065735,24.55,3.2011363636363632,65.14938886065735,4.8,5.1,5.0
14.3,17.5,36.090075468795156,74.3375,3.214955357142857,43.52382546879516,6.9,3.3,7.3
12.9,17.1,54.64043498106654,1.675,3.2243421052631582,54.80793498106654,4.5,4.8,2.0
10.8,19.6,68.3875,45.4625,3.2342672413793103,72.93375,0.0,6.5,6.7
13.1,12.9,46.801006398195035,52.375000000000014,3.2345338983050844,52.03850639819504,6.4,4.2,7.4
10.8,11.9,31.320196155081874,17.05,3.2279166666666668,33.02519615508187,7.2,3.1,4.4
7.9,14.7,20.414625879991878,16.375,3.2213114754098355,22.052125879991877,1.3,2.7,4.4
11.2,11.6,41.30187728722549,0.7375,3.2153225806451617,41.375627287225484,4.9,5.0,1.7
8.7,14.8,26.47274767420439,46.9125,3.210912698412698,31.16399767420439,2.5,2.6,6.3
13.3,11.0,40.86398103901713,34.4625,3.208203125,44.31023103901713,8.5,3.1,5.7
10.5,13.8,26.74620367217879,5.3875,3.205576923076923,27.28495367217879,4.5,2.1,2.9
10.5,15.4,36.88482771296444,20.974999999999998,3.2060606060606056,38.982327712964434,5.5,4.0,5.2
10.8,15.7,44.69966753746351,33.4,3.2076492537313435,48.039667537463515,1.3,4.3,5.6
11.0,11.4,41.827952673146726,0.4750000000000001,3.201654411764706,41.875452673146725,5.7,3.7,1.4
6.2,15.7,22.0625,2.4625,3.194927536231884,22.30875,0.0,3.1,2.3
11.0,13.4,33.553822535891115,10.237499999999999,3.192857142857143,34.577572535891115,7.2,3.2,3.9
9.0,16.7,38.086351397120595,6.825,3.1931338028169014,38.76885139712059,2.3,4.1,3.0
11.0,16.0,26.913921962571834,5.250000000000001,3.1956597222222225,27.438921962571833,5.6,3.2,3.0
12.5,18.6,66.91876243758198,13.1375,3.20513698630137,68.23251243758197,4.0,5.6,4.3
10.7,18.3,49.47774009272634,34.9125,3.2108108108108104,52.968990092726344,3.3,4.8,5.7
10.9,15.9,55.122472817251165,15.000000000000002,3.2126666666666672,56.622472817251165,3.1,5.3,4.2
10.0,14.8,24.205155126994224,16.250000000000004,3.2111842105263158,25.830155126994224,5.5,3.3,4.6
9.3,15.7,20.789991670984296,20.825000000000003,3.210064935064935,22.872491670984296,3.5,3.0,5.2
10.2,14.0,44.36016854310189,2.725,3.2076923076923074,44.63266854310189,2.4,4.6,1.4
9.5,15.0,32.528913696937344,32.81249999999999,3.205854430379747,35.810163696937344,4.3,3.8,5.7
10.4,13.6,39.28692958182898,2.35,3.20328125,39.52192958182898,5.7,4.0,2.0
9.6,17.3,42.75470342888457,38.35000000000001,3.205246913580247,46.58970342888457,1.2,5.2,6.2
13.0,12.3,51.30928831945517,1.2875,3.2047256097560974,51.43803831945517,7.4,4.3,1.9
