local_queue,uav_queue,energy_user_pro,energy_user_off,energy_user,energy_uav,delay,weightedE,off_b,local_a,remote_c,time
5.2,0.0,0.012500000000000002,0.09259912109193946,0.10509912109193946,0.0,0.8666666666666668,0.10509912109193946,3.3,0.1,0.0,57.018190145492554
7.9,3.3,0.07500000000000001,0.2051799362726342,0.2801799362726342,0.5499999999999999,1.3666666666666667,0.3351799362726342,4.5,0.6,0.8,57.018190145492554
8.1,7.0,0.012500000000000002,0.20511574827062495,0.21761574827062496,1.3125000000000002,1.75,0.348865748270625,4.2,0.1,1.5,57.018190145492554
9.5,9.7,0.30000000000000004,0.46244499990008753,0.7624449999000875,2.7874999999999996,2.1125,1.0411949999000876,4.9,0.6,2.5,57.018190145492554
10.0,12.1,0.5375,0.6916156250623169,1.2291156250623168,5.750000000000001,2.4266666666666667,1.804115625062317,6.8,0.7,3.4,57.018190145492554
9.6,15.5,0.0,0.6849844433828419,0.6849844433828419,9.3625,2.719444444444444,1.621234443382842,6.3,0.0,4.1,57.018190145492554
8.7,17.7,0.0,0.723362958078925,0.723362958078925,13.1625,2.9595238095238097,2.039612958078925,6.2,0.0,4.5,57.018190145492554
7.9,19.4,0.20000000000000004,1.1005406093013554,1.3005406093013554,18.649999999999995,3.158333333333333,3.165540609301355,6.0,0.4,5.2,57.018190145492554
6.8,20.2,0.6749999999999999,0.9839737802705223,1.6589737802705222,26.0,3.307407407407408,4.258973780270522,5.6,0.6,5.8,57.018190145492554
7.5,20.0,0.0,1.1306476715994656,1.1306476715994656,30.624999999999996,3.435,4.1931476715994656,7.0,0.0,6.2,57.018190145492554
5.8,20.8,0.35000000000000003,0.7859507490827197,1.1359507490827196,35.3875,3.525757575757576,4.67470074908272,5.4,0.4,6.5,57.018190145492554
6.1,19.7,0.35000000000000003,0.9949115671380772,1.3449115671380771,43.925000000000004,3.5902777777777786,5.7374115671380785,5.7,0.4,7.0,57.018190145492554
7.4,18.4,0.10000000000000002,1.6301762332290053,1.7301762332290054,43.925000000000004,3.644871794871795,6.122676233229006,6.8,0.2,7.0,57.018190145492554
5.7,18.2,0.10000000000000002,0.5122464795403374,0.6122464795403374,46.0375,3.669047619047619,5.215996479540338,5.5,0.2,7.1,57.018190145492554
5.7,16.6,0.33749999999999997,1.1744011123507752,1.511901112350775,40.4375,3.672222222222222,5.555651112350775,5.4,0.3,6.7,57.018190145492554
6.0,15.3,0.0,0.6011358234501862,0.6011358234501862,42.3375,3.6645833333333337,4.834885823450186,6.0,0.0,6.9,57.018190145492554
5.6,14.4,0.11250000000000002,0.4163566194260353,0.5288566194260353,44.45,3.6450980392156866,4.973856619426035,5.3,0.3,7.0,57.018190145492554
6.3,12.7,0.11250000000000002,1.2739685889104673,1.3864685889104673,43.3125,3.6185185185185182,5.717718588910467,6.0,0.3,6.9,57.018190145492554
6.0,11.8,0.012500000000000002,0.77350488144158,0.78600488144158,39.037499999999994,3.584210526315789,4.68975488144158,5.9,0.1,6.3,57.018190145492554
7.2,11.4,0.0,1.4033044492010784,1.4033044492010784,40.9625,3.5599999999999996,5.499554449201079,7.1,0.0,6.7,57.018190145492554
6.1,11.8,0.33749999999999997,1.077258918026615,1.414758918026615,40.137499999999996,3.532539682539683,5.428508918026615,5.8,0.3,6.7,57.018190145492554
6.0,10.9,0.0,0.9051779802658854,0.9051779802658854,40.162499999999994,3.5,4.921427980265885,6.0,0.0,6.3,57.018190145492554
5.3,10.6,0.33749999999999997,0.9838095176579785,1.3213095176579785,44.45,3.4630434782608694,5.766309517657978,5.0,0.3,7.0,57.018190145492554
5.3,8.6,0.10000000000000002,0.5816657884879763,0.6816657884879763,35.349999999999994,3.415277777777778,4.216665788487976,5.1,0.2,6.2,57.018190145492554
5.8,7.5,0.0,0.9464545467227455,0.9464545467227455,33.787499999999994,3.3673333333333337,4.325204546722746,5.8,0.0,5.7,57.018190145492554
5.3,7.6,0.0,0.4019716714673821,0.4019716714673821,33.087500000000006,3.3205128205128203,3.710721671467383,5.3,0.0,6.1,57.018190145492554
4.8,6.8,0.025000000000000005,0.5255163617666074,0.5505163617666075,29.2375,3.2691358024691355,3.4742663617666074,4.6,0.2,5.9,57.018190145492554
6.4,5.5,0.33749999999999997,1.074561622290443,1.412061622290443,22.550000000000004,3.2232142857142856,3.6670616222904435,6.1,0.3,4.6,57.018190145492554
6.0,7.0,0.0,1.3258828631249666,1.3258828631249666,32.4375,3.1867816091954024,4.569632863124967,6.0,0.0,5.7,57.018190145492554
6.1,7.3,0.35000000000000003,1.8337825770498097,2.1837825770498096,30.137500000000006,3.155,5.19753257704981,5.7,0.4,5.9,57.018190145492554
6.6,7.1,0.0,2.0403495105701044,2.0403495105701044,31.562500000000004,3.1268817204301076,5.196599510570104,6.6,0.0,5.9,57.018190145492554
6.4,7.8,0.33749999999999997,1.386764590399019,1.7242645903990188,33.7,3.1031250000000004,5.094264590399019,6.1,0.3,6.2,57.018190145492554
6.9,7.7,0.35000000000000003,1.4469078304003884,1.7969078304003885,29.4125,3.082828282828283,4.738157830400389,6.5,0.4,5.5,57.018190145492554
5.7,8.7,0.0,0.9324001204680016,0.9324001204680016,34.1875,3.062745098039216,4.351150120468001,5.7,0.0,5.9,57.018190145492554
5.5,8.5,0.775,1.4906425132006202,2.2656425132006204,31.65,3.0419047619047617,5.43064251320062,4.7,0.8,6.0,57.018190145492554
5.5,7.2,0.0,0.5332810826557934,0.5332810826557934,25.9,3.0162037037037033,3.1232810826557933,5.5,0.0,5.0,57.018190145492554
6.7,7.7,0.0,1.127275085953823,1.127275085953823,31.2875,2.99954954954955,4.256025085953823,6.7,0.0,6.1,57.018190145492554
5.9,8.3,0.0,0.9741769806275463,0.9741769806275463,35.662499999999994,2.982894736842105,4.540426980627546,5.9,0.0,6.3,57.018190145492554
5.7,7.9,0.012500000000000002,1.0494101871307024,1.0619101871307024,34.900000000000006,2.9645299145299147,4.551910187130703,5.6,0.1,6.2,57.018190145492554
4.6,7.3,0.012500000000000002,0.4634256483699197,0.4759256483699197,35.075,2.94,3.98342564836992,4.5,0.1,5.8,57.018190145492554
5.5,6.0,0.0,0.6540546395622554,0.6540546395622554,27.187500000000007,2.915040650406504,3.3728046395622564,5.5,0.0,5.7,57.018190145492554
5.3,5.8,0.0,0.5820544010063315,0.5820544010063315,23.262500000000003,2.8896825396825396,2.908304401006332,5.3,0.0,5.5,57.018190145492554
5.7,5.6,0.33749999999999997,1.3033573838465924,1.6408573838465923,23.849999999999998,2.8662790697674416,4.025857383846592,5.4,0.3,5.4,57.018190145492554
6.4,5.6,0.33749999999999997,1.1076836541164545,1.4451836541164544,22.5375,2.846590909090909,3.6989336541164546,6.1,0.3,5.1,57.018190145492554
5.1,6.6,0.0,0.5936418077403374,0.5936418077403374,28.5875,2.8266666666666667,3.4523918077403373,5.1,0.0,5.5,57.018190145492554
6.9,6.2,0.33749999999999997,1.5713777733075622,1.9088777733075621,26.8125,2.81268115942029,4.590127773307563,6.1,0.3,5.7,57.018190145492554
6.1,6.6,0.0,1.2674305493960139,1.2674305493960139,27.6125,2.797872340425532,4.0286805493960145,6.1,0.0,5.5,57.018190145492554
5.7,7.2,0.10000000000000002,0.8029995922582874,0.9029995922582874,30.212500000000002,2.784375,3.9242495922582874,5.5,0.2,5.9,57.018190145492554
6.6,6.8,0.0,1.571872196979058,1.571872196979058,30.849999999999998,2.7731292517006803,4.656872196979058,6.6,0.0,5.6,57.018190145492554
6.8,7.8,0.43749999999999994,1.047669887049131,1.485169887049131,35.225,2.7663333333333333,5.007669887049131,6.3,0.5,6.4,57.018190145492554
6.5,7.7,0.10000000000000002,0.7137749012188732,0.8137749012188732,38.537499999999994,2.7584967320261438,4.667524901218873,6.3,0.2,5.9,57.018190145492554
5.1,8.1,0.20000000000000004,0.5246386296389604,0.7246386296389604,34.4625,2.74775641025641,4.17088862963896,4.7,0.4,6.3,57.018190145492554
6.5,6.5,0.0,1.335303652882037,1.335303652882037,29.7375,2.736792452830189,4.309053652882037,6.5,0.0,5.7,57.018190145492554
5.0,7.3,0.012500000000000002,1.1164560449807053,1.1289560449807052,32.875,2.7240740740740743,4.4164560449807055,4.9,0.1,6.2,57.018190145492554
5.3,6.0,1.025,0.6659834328610527,1.6909834328610525,28.1375,2.7087878787878785,4.504733432861053,4.3,1.0,5.5,57.018190145492554
6.8,4.8,0.0,2.1083492922048244,2.1083492922048244,18.337500000000002,2.694940476190476,3.9420992922048246,6.8,0.0,3.9,57.018190145492554
