local_queue,uav_queue,energy_user_pro,energy_user_off,energy_user,energy_uav,delay,weightedE,off_b,local_a,remote_c,time
11.0,0.0,0.06250000000000001,0.14307464331583897,0.20557464331583897,0.0,0.9166666666666667,0.20557464331583897,3.7,0.5,0.0,47.92209720611572
21.0,3.7,0.7125000000000001,0.3709574471848545,1.0834574471848546,0.05000000000000001,1.4875,1.0884574471848545,5.1,1.5,0.4,47.92209720611572
28.0,8.4,0.6125,0.48184344284726277,1.0943434428472627,0.35000000000000003,2.0027777777777778,1.1293434428472626,4.5,1.3,1.0,47.92209720611572
32.7,11.9,0.4000000000000001,0.3587123465843036,0.7587123465843038,0.7625000000000001,2.43125,0.8349623465843038,3.4,0.8,1.3,47.92209720611572
41.1,14.0,0.775,0.33857985754840625,1.1135798575484062,1.3499999999999999,2.8633333333333333,1.2485798575484062,3.6,0.8,1.8,47.92209720611572
47.2,15.8,2.3625,0.984209302637562,3.346709302637562,2.7625,3.2611111111111115,3.622959302637562,5.2,2.1,2.3,47.92209720611572
52.0,18.7,1.9375000000000002,0.6890900112757811,2.6265900112757814,5.6875,3.636904761904762,3.1953400112757815,5.5,1.1,2.9,47.92209720611572
56.6,21.3,1.5625,0.9095119916830066,2.4720119916830066,10.75,3.99375,3.5470119916830063,5.5,0.5,3.8,47.92209720611572
61.5,23.0,3.1625,1.616953679335821,4.7794536793358215,14.5125,4.332407407407407,6.2307036793358215,6.1,1.3,4.5,47.92209720611572
66.6,24.6,0.0,1.7392975221393092,1.7392975221393092,24.612500000000004,4.659166666666667,4.20054752213931,5.8,0.0,5.5,47.92209720611572
73.1,24.9,2.6999999999999997,2.3134873661495954,5.013487366149596,36.112500000000004,4.9780303030303035,8.624737366149596,6.1,0.6,6.3,47.92209720611572
77.8,24.7,6.400000000000001,2.6793820971675126,9.079382097167514,54.237500000000004,5.275,14.503132097167516,6.5,0.8,7.3,47.92209720611572
83.1,23.9,9.112499999999999,3.3707973115886856,12.483297311588684,75.725,5.555128205128204,20.055797311588684,7.1,0.9,8.2,47.92209720611572
87.4,22.8,15.512500000000001,4.502484180224222,20.014984180224225,94.71249999999999,5.814285714285714,29.486234180224223,6.8,1.7,8.9,47.92209720611572
91.5,20.7,9.112499999999999,5.68316411682801,14.795664116828009,120.01250000000003,6.050000000000001,26.796914116828013,7.6,0.9,9.7,47.92209720611572
93.3,18.6,12.5,5.607306000044721,18.107306000044723,148.60000000000002,6.2546875,32.96730600004473,7.4,1.0,10.4,47.92209720611572
98.8,15.6,12.5,5.996553032663005,18.496553032663005,171.3125,6.447549019607843,35.62780303266301,8.0,1.0,10.9,47.92209720611572
101.3,12.7,25.0,6.643614386200632,31.643614386200632,153.325,6.617129629629629,46.976114386200635,7.7,2.0,9.8,47.92209720611572
104.5,10.6,12.5,7.640078037052121,20.14007803705212,142.525,6.773684210526317,34.39257803705212,8.4,1.0,9.2,47.92209720611572
106.4,9.8,0.0,8.210486102561838,8.210486102561838,144.65,6.9191666666666665,22.67548610256184,7.9,0.0,9.4,47.92209720611572
109.8,8.3,0.0,8.340119178595605,8.340119178595605,77.68750000000001,7.058333333333333,16.108869178595608,8.3,0.0,8.3,47.92209720611572
112.3,8.3,0.0,9.79619158345254,9.79619158345254,75.4375,7.194318181818181,17.33994158345254,8.1,0.0,8.3,47.92209720611572
115.4,8.1,0.0,10.732287063389139,10.732287063389139,68.5125,7.328985507246377,17.583537063389137,9.2,0.0,8.1,47.92209720611572
119.5,9.2,37.5,12.17536182740506,49.67536182740506,101.42499999999998,7.47048611111111,59.81786182740506,9.5,3.0,9.2,47.92209720611572
119.7,9.5,37.5,11.745675022730463,49.24567502273047,225.8125,7.602333333333332,71.82692502273046,9.1,3.0,9.5,47.92209720611572
118.6,9.1,37.5,14.304198868970518,51.804198868970516,195.16249999999997,7.719230769230771,71.32044886897052,8.6,3.0,9.1,47.92209720611572
120.9,8.6,37.5,15.754964195655912,53.254964195655916,165.7,7.833024691358025,69.82496419565592,9.4,3.0,8.6,47.92209720611572
120.9,9.4,75.0,17.348015527133235,92.34801552713324,211.83749999999998,7.941071428571429,113.53176552713325,9.6,6.0,9.3,47.92209720611572
117.3,9.7,50.0,17.672656059355536,67.67265605935553,183.68750000000006,8.032183908045976,86.04140605935554,10.1,4.0,6.1,47.92209720611572
115.1,13.7,75.0,21.31748369331154,96.31748369331154,280.5625,8.122222222222222,124.37373369331155,9.9,6.0,10.1,47.92209720611572
110.1,13.5,75.0,21.649816121581612,96.64981612158161,213.28750000000002,8.192473118279569,117.97856612158161,9.4,6.0,7.7,47.92209720611572
105.8,15.2,75.0,22.344266351368667,97.34426635136867,242.87499999999994,8.2515625,121.63176635136867,9.8,6.0,8.6,47.92209720611572
102.7,16.4,87.49999999999999,23.790049563804256,111.29004956380425,255.37499999999994,8.302272727272728,136.82754956380424,9.7,7.0,9.0,47.92209720611572
97.4,17.1,87.49999999999999,22.190433125964812,109.6904331259648,206.3375,8.33872549019608,130.3241831259648,10.7,7.0,7.3,47.92209720611572
91.6,20.5,87.49999999999999,22.98887993310826,110.48887993310825,225.87500000000006,8.367380952380952,133.07637993310826,10.5,7.0,7.6,47.92209720611572
84.7,23.4,75.0,25.34109235689874,100.34109235689874,288.6875,8.385185185185184,129.20984235689875,10.5,6.0,10.3,47.92209720611572
79.7,23.6,62.5,23.38474355129656,85.88474355129657,277.8625,8.391216216216216,113.67099355129656,10.2,5.0,10.1,47.92209720611572
78.5,23.7,62.5,22.105587188424426,84.60558718842442,256.58750000000003,8.394517543859648,110.26433718842443,9.1,5.0,9.7,47.92209720611572
76.9,23.1,75.0,20.756828655473377,95.75682865547338,272.35,8.392948717948718,122.99182865547338,9.1,6.0,9.8,47.92209720611572
73.9,22.4,99.99999999999997,17.46863240186547,117.46863240186545,249.66250000000002,8.38375,142.43488240186545,10.6,8.0,9.5,47.92209720611572
66.1,23.5,87.50000000000001,25.993895089020015,113.49389508902003,257.625,8.361382113821136,139.25639508902003,11.2,7.0,9.0,47.92209720611572
60.1,25.7,75.0,21.126037325280105,96.12603732528011,228.675,8.332539682539684,118.99353732528012,9.9,6.0,8.4,47.92209720611572
55.2,27.2,87.50000000000001,20.823561882174022,108.32356188217403,291.925,8.2984496124031,137.51606188217403,10.8,7.0,10.4,47.92209720611572
47.9,27.6,87.50000000000001,26.587140729599216,114.08714072959923,328.13750000000005,8.25284090909091,146.90089072959924,11.5,7.0,12.7,47.92209720611572
42.4,26.4,87.50000000000001,28.916244854616018,116.41624485461602,249.15000000000003,8.196851851851854,141.33124485461605,9.8,7.0,10.8,47.92209720611572
39.1,25.4,87.50000000000001,25.06358447455485,112.56358447455486,216.35,8.135507246376813,134.19858447455485,10.7,7.0,8.2,47.92209720611572
33.4,27.9,75.0,21.21208602788815,96.21208602788815,204.97500000000002,8.071099290780143,116.70958602788815,10.1,6.0,7.8,47.92209720611572
29.8,30.2,75.0,19.316995690136476,94.31699569013648,297.5625,8.007118055555555,124.07324569013647,10.3,6.0,10.5,47.92209720611572
23.5,30.0,65.2,20.05261138930691,85.2526113893069,337.5125,7.934693877551021,119.0038613893069,9.0,5.6,12.7,47.92209720611572
21.2,26.3,62.5,6.346820604043901,68.8468206040439,248.975,7.855166666666666,93.7443206040439,8.8,5.0,10.0,47.92209720611572
20.5,25.1,54.28750000000001,12.762697253077748,67.05019725307776,331.8625,7.775653594771244,100.23644725307776,9.1,4.7,11.9,47.92209720611572
19.6,22.3,49.3125,17.627682569157574,66.94018256915757,277.77500000000003,7.69326923076923,94.71768256915757,8.6,4.5,10.6,47.92209720611572
19.0,20.3,50.0,12.74422287633338,62.74422287633338,252.91249999999997,7.609905660377359,88.03547287633339,9.5,4.0,10.9,47.92209720611572
19.3,18.9,50.0,23.06424798486536,73.06424798486536,264.2375,7.527932098765433,99.48799798486536,10.5,4.0,10.9,47.92209720611572
16.3,18.5,65.2,12.547671258271492,77.7476712582715,299.5875,7.443787878787878,107.70642125827149,9.2,5.6,10.5,47.92209720611572
12.4,17.2,33.574999999999996,10.453396407488947,44.02839640748894,231.67500000000004,7.3549107142857135,67.19589640748895,8.2,3.4,9.0,47.92209720611572
11.7,16.4,18.35,11.814149462001287,30.16414946200129,326.325,7.2669590643274855,62.79664946200129,8.3,2.2,13.2,47.92209720611572
13.5,11.5,42.9,12.782208836337938,55.682208836337935,248.8375,7.177586206896551,80.56595883633794,8.2,4.2,10.7,47.92209720611572
15.0,9.0,50.3,13.237557228403759,63.537557228403756,154.57500000000002,7.089830508474575,78.99505722840377,8.3,4.6,7.2,47.92209720611572
13.2,10.1,34.099999999999994,14.531230192358144,48.63123019235814,191.23749999999995,7.004027777777777,67.75498019235813,9.2,3.4,8.3,47.92209720611572
12.5,11.0,25.3,16.577521529877966,41.87752152987797,212.975,6.921311475409835,63.17502152987797,8.9,2.6,9.4,47.92209720611572
13.6,10.5,40.5125,11.202482811936221,51.714982811936224,177.9625,6.842069892473117,69.51123281193622,7.9,3.7,9.5,47.92209720611572
13.4,8.9,25.0,14.534541131565149,39.53454113156515,161.86249999999998,6.762962962962962,55.72079113156515,8.7,2.0,7.9,47.92209720611572
12.4,9.7,16.0,16.145255432865145,32.14525543286514,135.8125,6.686067708333335,45.72650543286514,8.7,2.0,8.9,47.92209720611572
13.6,9.5,41.7875,14.513779558309222,56.301279558309226,176.82500000000002,6.612820512820512,73.98377955830922,8.4,3.7,9.4,47.92209720611572
14.4,8.5,50.0,14.342069848491773,64.34206984849178,196.32500000000002,6.541540404040404,83.97456984849178,8.8,4.0,8.2,47.92209720611572
15.1,9.1,50.0,15.256020291722566,65.25602029172256,192.33749999999998,6.474004975124378,84.48977029172256,9.6,4.0,8.1,47.92209720611572
13.3,10.6,35.6875,12.461014912995793,48.14851491299579,240.64999999999998,6.408088235294118,72.21351491299579,8.8,3.5,8.8,47.92209720611572
14.6,10.6,30.724999999999998,15.013073894244236,45.73807389424424,175.26250000000002,6.345652173913043,63.26432389424424,9.5,2.8,8.3,47.92209720611572
16.4,11.8,50.0,15.130211946483426,65.13021194648343,247.24999999999997,6.288571428571428,89.85521194648342,9.3,4.0,10.6,47.92209720611572
16.4,10.5,37.5,14.523928270358038,52.02392827035804,194.0625,6.231572769953051,71.43017827035804,9.9,3.0,8.1,47.92209720611572
15.5,12.3,46.612500000000004,13.195006357101693,59.8075063571017,238.95,6.177199074074074,83.7025063571017,8.5,3.9,10.2,47.92209720611572
12.7,10.6,9.1,13.403235309447378,22.503235309447376,225.42499999999998,6.119178082191781,45.04573530944738,9.2,1.4,9.4,47.92209720611572
15.6,10.4,59.11250000000001,13.716921904180007,72.82942190418002,186.9125,6.065765765765766,91.52067190418002,8.6,4.9,10.3,47.92209720611572
13.0,8.7,34.099999999999994,10.653529302764976,44.753529302764974,211.1625,6.0089999999999995,65.86977930276498,8.5,3.4,7.5,47.92209720611572
13.5,9.7,21.6125,9.706003783985656,31.318503783985655,193.275,5.955372807017545,50.646003783985655,8.6,1.9,8.4,47.92209720611572
14.2,9.9,46.612500000000004,10.674505728669056,57.28700572866906,160.43749999999997,5.9041125541125545,73.33075572866906,8.4,3.9,9.7,47.92209720611572
13.5,8.6,12.5,10.60024290952059,23.10024290952059,182.45000000000002,5.852029914529916,41.34524290952059,9.3,1.0,8.2,47.92209720611572
17.3,9.7,25.0,10.664672946915553,35.66467294691555,147.9,5.806434599156118,50.45467294691555,9.1,2.0,9.6,47.92209720611572
19.2,9.2,49.31250000000001,15.78535908186946,65.09785908186947,134.51250000000002,5.7634375,78.54910908186947,9.3,4.5,8.7,47.92209720611572
16.5,9.8,62.5,13.539914160925218,76.03991416092522,218.125,5.719341563786008,97.85241416092522,8.9,5.0,8.0,47.92209720611572
13.8,10.7,12.5,8.38370051832729,20.883700518327288,254.47500000000005,5.6744918699186995,46.33120051832729,8.0,1.0,9.0,47.92209720611572
17.6,9.7,55.725,11.65454796157944,67.37954796157945,147.8125,5.633534136546185,82.16079796157945,8.9,4.8,9.5,47.92209720611572
15.0,9.1,34.1,9.931501594693124,44.031501594693125,224.47500000000002,5.590376984126985,66.47900159469313,8.4,3.4,7.8,47.92209720611572
17.0,9.7,31.400000000000006,12.440950666216315,43.84095066621632,196.33749999999998,5.550784313725491,63.47470066621632,8.9,2.8,8.3,47.92209720611572
17.4,10.3,18.9,11.153165862370155,30.053165862370154,182.48749999999995,5.513081395348837,48.30191586237015,8.4,1.8,9.1,47.92209720611572
20.4,9.6,16.787499999999998,10.718628301315258,27.506128301315258,148.0375,5.4784482758620685,42.30987830131526,9.4,1.7,8.9,47.92209720611572
22.0,10.1,8.575000000000001,11.463182890668149,20.03818289066815,178.2,5.44659090909091,37.85818289066815,9.1,1.4,9.6,47.92209720611572
22.3,9.6,16.787499999999998,8.871956409435835,25.659456409435833,151.2875,5.415262172284644,40.78820640943583,8.7,1.7,9.1,47.92209720611572
24.1,9.2,8.575000000000001,11.019508351472881,19.594508351472882,154.4375,5.3859259259259264,35.038258351472884,8.6,1.4,9.1,47.92209720611572
24.8,8.7,32.2,10.65588896281963,42.855888962819634,137.51250000000002,5.3574175824175825,56.60713896281963,9.4,3.2,8.7,47.92209720611572
24.9,9.4,6.400000000000001,9.1584268096326,15.5584268096326,259.26250000000005,5.330253623188407,41.4846768096326,8.2,0.8,8.9,47.92209720611572
27.4,8.7,6.400000000000001,10.925166702357583,17.325166702357585,109.46249999999999,5.3052867383512545,28.271416702357584,8.4,0.8,8.7,47.92209720611572
31.9,8.4,21.6125,10.205444585356563,31.817944585356564,94.27500000000002,5.284574468085106,41.245444585356566,9.2,1.9,8.4,47.92209720611572
33.2,9.2,0.0,9.755444647444197,9.755444647444197,158.87500000000003,5.266140350877192,25.6429446474442,9.1,0.0,9.2,47.92209720611572
34.8,9.1,0.0,7.508196567706488,7.508196567706488,97.9625,5.249392361111111,17.30444656770649,8.2,0.0,9.1,47.92209720611572
39.6,8.2,0.0,8.814608057814116,8.814608057814116,71.225,5.2363402061855675,15.937108057814115,8.6,0.0,8.2,47.92209720611572
44.3,8.6,0.0,9.099144171909026,9.099144171909026,80.95,5.227891156462585,17.194144171909027,8.7,0.0,8.6,47.92209720611572
46.8,8.7,0.0,9.208988696911547,9.208988696911547,90.18750000000001,5.221801346801347,18.22773869691155,8.6,0.0,8.7,47.92209720611572
52.0,8.6,0.0,8.476840033704773,8.476840033704773,86.42500000000001,5.220083333333333,17.119340033704773,7.5,0.0,8.6,47.92209720611572
