local_queue,uav_queue,energy_user_pro,energy_user_off,energy_user,energy_uav,delay,weightedE,off_b,local_a,remote_c,time
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.89544105529785
10.3,0.0,5.85,2.3083540175740875,8.158354017574087,0.0,0.4291666666666667,8.158354017574087,8.5,1.2,0.0,18.89544105529785
14.2,8.5,10.687500000000002,2.7692897647775387,13.45678976477754,46.5875,0.9166666666666667,18.11553976477754,5.8,1.5,6.1,18.89544105529785
20.7,8.2,18.9,5.315950502300185,24.215950502300185,40.5625,1.2895833333333333,28.272200502300187,9.0,1.8,5.9,18.89544105529785
21.9,11.3,6.400000000000001,4.825953061858322,11.225953061858323,60.9,1.5850000000000002,17.315953061858323,9.4,0.8,7.2,18.89544105529785
24.2,13.5,0.0,4.536108932588838,4.536108932588838,83.47500000000001,1.8444444444444443,12.883608932588839,10.8,0.0,8.4,18.89544105529785
27.5,15.9,18.9,5.7277759493705735,24.627775949370573,100.3625,2.0976190476190473,34.664025949370576,10.0,1.8,9.1,18.89544105529785
29.1,16.8,12.5,5.080073312331342,17.580073312331344,114.71250000000002,2.3135416666666666,29.05132331233135,9.2,1.0,9.3,18.89544105529785
31.3,16.7,12.5,6.106438366184041,18.60643836618404,110.89999999999999,2.5009259259259258,29.69643836618404,10.3,1.0,9.4,18.89544105529785
31.3,17.6,12.5,5.822099891866552,18.32209989186655,123.17499999999997,2.6583333333333337,30.639599891866546,9.7,1.0,9.8,18.89544105529785
34.5,17.5,12.5,8.157095603619634,20.657095603619634,124.3625,2.8106060606060606,33.09334560361964,9.9,1.0,9.7,18.89544105529785
36.8,17.7,0.0,8.580022527518974,8.580022527518974,121.5875,2.954861111111111,20.738772527518975,11.5,0.0,9.7,18.89544105529785
38.3,19.5,25.0,8.532090407023103,33.532090407023105,129.49999999999997,3.098076923076923,46.4820904070231,11.6,2.0,10.0,18.89544105529785
36.0,21.1,12.5,6.404192123611936,18.904192123611935,136.4625,3.2166666666666663,32.55044212361194,9.6,1.0,9.9,18.89544105529785
37.5,20.8,75.0,8.495288552903558,83.49528855290356,147.8,3.3261111111111115,98.27528855290356,13.8,6.0,10.0,18.89544105529785
29.5,24.6,18.9,7.13254087139524,26.032540871395238,150.8,3.4,41.11254087139524,8.0,1.8,10.0,18.89544105529785
32.6,22.6,18.9,5.740656380526021,24.640656380526018,140.5375,3.4705882352941173,38.69440638052602,9.9,1.8,10.1,18.89544105529785
31.4,22.4,6.400000000000001,5.079837537126843,11.479837537126844,132.95000000000002,3.526851851851852,24.774837537126846,8.8,0.8,10.0,18.89544105529785
33.7,21.2,21.6125,5.62121291175457,27.233712911754573,137.74999999999997,3.5820175438596493,41.00871291175457,12.1,1.9,10.0,18.89544105529785
31.9,23.3,12.5,4.332207826986775,16.832207826986775,147.7875,3.6329166666666666,31.610957826986777,8.8,1.0,9.9,18.89544105529785
33.7,22.2,0.0,5.290797130405866,5.290797130405866,125.3625,3.6817460317460315,17.827047130405866,9.3,0.0,9.9,18.89544105529785
35.5,21.6,0.0,5.92378273563341,5.92378273563341,130.61249999999998,3.730681818181818,18.98503273563341,10.9,0.0,9.9,18.89544105529785
36.1,22.6,0.0,5.809571127466913,5.809571127466913,129.95,3.7811594202898555,18.80457112746691,10.2,0.0,10.0,18.89544105529785
37.2,22.8,0.0,6.542413724793214,6.542413724793214,125.28750000000002,3.8319444444444444,19.071163724793216,11.8,0.0,9.9,18.89544105529785
37.7,24.7,0.0,5.659088656564976,5.659088656564976,126.50000000000001,3.8866666666666667,18.309088656564978,10.6,0.0,10.0,18.89544105529785
38.2,25.3,0.0,5.87367066689978,5.87367066689978,127.25000000000001,3.9407051282051286,18.598670666899782,10.3,0.0,10.0,18.89544105529785
39.0,25.6,0.0,5.7167327124299,5.7167327124299,118.97500000000001,3.994135802469136,17.614232712429903,10.2,0.0,9.8,18.89544105529785
41.5,26.0,0.0,6.547427198703779,6.547427198703779,127.25000000000001,4.052380952380952,19.27242719870378,11.5,0.0,10.0,18.89544105529785
40.8,27.5,0.0,5.815551054557021,5.815551054557021,126.50000000000001,4.108908045977012,18.465551054557025,9.6,0.0,10.0,18.89544105529785
41.9,27.1,0.0,6.7427507460451315,6.7427507460451315,126.5625,4.163611111111111,19.399000746045132,11.0,0.0,9.9,18.89544105529785
45.2,28.2,0.0,7.260379167191197,7.260379167191197,127.92500000000003,4.226612903225806,20.0528791671912,10.1,0.0,10.0,18.89544105529785
45.5,28.3,0.0,7.719355486361852,7.719355486361852,127.92500000000003,4.28671875,20.511855486361856,10.8,0.0,10.0,18.89544105529785
47.9,29.1,0.0,8.594736304221058,8.594736304221058,131.38750000000002,4.351262626262626,21.73348630422106,11.6,0.0,10.1,18.89544105529785
49.4,30.6,0.0,7.486958405204977,7.486958405204977,130.6375,4.41936274509804,20.550708405204976,11.5,0.0,10.1,18.89544105529785
49.7,32.0,0.0,8.511471501461912,8.511471501461912,123.78750000000001,4.487619047619047,20.890221501461916,11.3,0.0,9.9,18.89544105529785
48.8,33.4,0.0,6.878531958755844,6.878531958755844,130.6375,4.5532407407407405,19.942281958755842,11.3,0.0,10.1,18.89544105529785
49.5,34.6,0.0,6.727185967036274,6.727185967036274,125.75,4.619594594594595,19.302185967036273,10.9,0.0,10.0,18.89544105529785
49.5,35.5,0.0,6.121164464640677,6.121164464640677,126.50000000000001,4.684429824561404,18.77116446464068,12.0,0.0,10.0,18.89544105529785
48.6,37.5,0.0,4.633832180074053,4.633832180074053,129.8875,4.748290598290598,17.622582180074055,9.9,0.0,10.1,18.89544105529785
51.2,37.3,0.0,6.524656057278097,6.524656057278097,126.50000000000001,4.813958333333334,19.1746560572781,10.3,0.0,10.0,18.89544105529785
51.5,37.6,0.0,6.397150861049325,6.397150861049325,126.50000000000001,4.877642276422764,19.047150861049328,10.8,0.0,10.0,18.89544105529785
51.7,38.4,0.0,5.624892728180994,5.624892728180994,118.97499999999998,4.940277777777777,17.522392728180993,11.3,0.0,9.8,18.89544105529785
53.1,39.9,0.0,6.213014369145292,6.213014369145292,134.025,5.005620155038759,19.615514369145295,9.5,0.0,10.2,18.89544105529785
54.7,39.2,12.5,6.8175682521987095,19.31756825219871,126.50000000000001,5.069696969696969,31.967568252198713,10.7,1.0,10.0,18.89544105529785
54.7,39.9,0.0,6.724747242947615,6.724747242947615,125.74999999999999,5.1322222222222225,19.299747242947614,9.4,0.0,10.0,18.89544105529785
57.2,39.3,37.5,9.686370515670461,47.18637051567046,122.3625,5.195471014492753,59.42262051567046,13.2,3.0,9.9,18.89544105529785
51.5,42.6,0.0,5.066546280901997,5.066546280901997,125.96250000000002,5.251773049645391,17.662796280902,7.5,0.0,9.9,18.89544105529785
55.3,40.2,12.5,7.143600493858439,19.64360049385844,118.97499999999998,5.308159722222222,31.541100493858437,11.9,1.0,9.8,18.89544105529785
52.1,42.3,0.0,3.9896561318385952,3.9896561318385952,123.1125,5.360374149659863,16.300906131838595,8.8,0.0,9.9,18.89544105529785
52.4,41.2,0.0,4.780453565153195,4.780453565153195,129.88750000000002,5.409166666666667,17.769203565153198,11.5,0.0,10.1,18.89544105529785
50.7,42.6,0.0,3.5490595632495783,3.5490595632495783,127.25,5.455555555555556,16.27405956324958,8.9,0.0,10.0,18.89544105529785
53.1,41.5,0.0,4.850524396414929,4.850524396414929,129.8875,5.502243589743589,17.83927439641493,9.8,0.0,10.1,18.89544105529785
56.3,41.2,12.5,6.501934547762704,19.001934547762705,123.78749999999998,5.551729559748427,31.380684547762705,10.6,1.0,9.9,18.89544105529785
57.1,41.9,12.5,7.00068218322228,19.50068218322228,132.0625,5.601697530864198,32.70693218322228,10.6,1.0,10.1,18.89544105529785
