local_queue,uav_queue,energy_user,energy_uav,delay,weightedE,off_b,local_a,remote_c
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.6,0.0,0.8556979333781118,0.0,0.3,0.8556979333781118,3.1,0.5,0.0
3.0,3.1,2.059300519459591,2.025,0.5388888888888889,2.261800519459591,1.2,1.8,1.8
5.2,2.5,1.959339524561804,1.4625,0.725,2.105589524561804,4.0,1.0,1.5
4.4,5.0,3.4375818890695857,2.3875,0.8933333333333333,3.6763318890695857,2.0,1.8,2.3
5.3,4.7,4.563143387077919,2.7125000000000004,1.0222222222222221,4.834393387077919,1.3,2.7,2.5
6.1,3.5,2.639579746558438,1.475,1.1047619047619048,2.787079746558438,4.5,0.7,1.6
6.0,6.4,3.603879281444007,3.0374999999999996,1.225,3.907629281444007,2.9,1.9,2.7
6.9,6.6,3.55355576096617,2.6625,1.338888888888889,3.8198057609661697,3.5,2.2,2.7
5.7,7.4,2.090462363962368,2.6999999999999997,1.4233333333333333,2.360462363962368,3.0,1.1,2.4
4.4,8.0,2.712918713364074,2.8,1.481818181818182,2.992918713364074,1.9,1.7,2.6
7.1,7.3,4.4430683906341635,2.5625,1.5583333333333331,4.699318390634163,2.1,2.3,2.5
7.7,6.9,3.053215018664405,2.225,1.6256410256410256,3.275715018664405,5.8,0.9,2.2
5.2,10.5,5.4847781109407245,2.375,1.6964285714285712,5.722278110940724,0.5,3.0,2.2
7.3,8.8,4.619214293065203,2.7125000000000004,1.7622222222222224,4.890464293065203,2.5,2.2,2.5
8.0,8.8,3.5712192806223215,2.4749999999999996,1.8270833333333336,3.8187192806223216,4.8,1.6,2.4
7.2,11.2,4.844617019725009,3.1374999999999997,1.9,5.158367019725008,1.3,2.4,2.9
8.0,9.6,3.942399300619812,3.0374999999999996,1.9574074074074073,4.2461493006198125,4.4,2.1,2.7
5.6,11.3,4.356402231881698,3.0374999999999996,2.0026315789473683,4.660152231881698,1.0,2.3,2.7
8.8,9.6,4.84239073574472,2.7125000000000004,2.0558333333333336,5.1136407357447204,2.3,2.4,2.5
9.5,9.4,5.947096804180831,3.1374999999999997,2.1079365079365076,6.260846804180831,2.9,2.8,2.9
9.1,9.4,5.526704911123903,2.6999999999999997,2.1522727272727273,5.796704911123903,4.0,2.4,2.4
9.4,11.0,4.817637531691121,2.5625,2.2065217391304346,5.0738875316911205,4.5,2.2,2.5
5.6,13.0,2.892019055904905,2.6999999999999997,2.24375,3.162019055904905,1.9,1.9,2.4
7.0,12.5,5.758826785138508,3.0374999999999996,2.284,6.062576785138508,1.4,3.0,2.7
7.5,11.2,4.861414061622698,2.575,2.3160256410256412,5.118914061622698,0.5,2.6,2.6
7.4,9.1,4.562399788665608,2.6999999999999997,2.3320987654320984,4.832399788665607,1.6,2.5,2.4
8.6,8.3,4.440397812965088,2.4625,2.349404761904762,4.686647812965088,1.6,2.3,2.3
10.6,7.6,7.6758370839203875,3.1374999999999997,2.3729885057471263,7.989587083920387,6.9,1.3,2.9
5.2,11.6,4.486338000195221,2.8125,2.3872222222222224,4.767588000195221,1.2,2.7,2.7
7.3,10.1,4.207483266660442,1.9,2.403763440860215,4.397483266660442,2.3,2.3,2.0
8.1,10.4,5.483520624360969,2.6999999999999997,2.425,5.753520624360968,0.6,3.0,2.4
8.7,8.6,2.7852827468849872,3.0374999999999996,2.438888888888889,3.089032746884987,4.6,1.9,2.7
6.5,10.5,3.357506887496546,2.125,2.450490196078431,3.570006887496546,1.8,1.7,2.0
7.4,10.3,5.436469953264834,2.375,2.4647619047619047,5.673969953264834,2.9,2.2,2.2
7.6,11.0,3.7924232153790727,2.4749999999999996,2.4824074074074067,4.039923215379073,3.5,1.9,2.4
7.9,12.1,4.3648516328913844,2.3875,2.5054054054054054,4.603601632891385,1.2,2.3,2.3
