local_queue,uav_queue,energy_user,energy_uav,delay,weightedE,off_b,local_a,remote_c
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.9,0.0,1.2106547846518818,0.0,0.4083333333333333,1.2106547846518818,4.3,0.6,0.0
5.1,4.3,2.362800465029674,2.3625,0.7944444444444445,2.599050465029674,2.8,1.5,2.1
6.0,5.0,3.4652566046206,2.0,1.0541666666666667,3.6652566046206,3.1,2.0,2.2
4.1,5.9,3.341747874280718,2.4625,1.1766666666666665,3.5879978742807177,0.7,2.0,2.3
4.6,4.3,3.6518280096744378,2.1375,1.2277777777777779,3.865578009674438,0.9,2.1,2.1
7.4,3.1,5.330234186835698,1.9875,1.3023809523809522,5.528984186835698,6.0,1.2,2.1
5.2,7.0,4.901187493317343,1.8875000000000002,1.39375,5.0899374933173425,1.0,2.5,1.9
6.0,6.1,3.373884754664467,2.3625,1.462962962962963,3.610134754664467,2.3,1.8,2.1
6.1,6.3,4.937187224231064,2.4749999999999996,1.5233333333333334,5.184687224231063,1.8,2.4,2.4
7.0,5.7,5.264395007802124,2.375,1.5772727272727274,5.501895007802124,3.9,2.0,2.2
6.0,7.4,2.934305411813792,2.3625,1.6319444444444446,3.170555411813792,2.5,1.5,2.1
5.5,7.8,5.188265104249088,2.4625,1.676923076923077,5.434515104249088,1.0,2.8,2.3
6.2,6.5,4.457599867506878,2.025,1.7083333333333333,4.660099867506878,1.8,2.3,1.8
7.4,6.5,4.079719818054227,2.1375,1.7488888888888892,4.293469818054227,1.5,2.0,2.1
7.9,5.9,3.880627132116019,2.7125000000000004,1.7833333333333332,4.151877132116019,4.8,2.0,2.5
5.8,8.2,3.1588626122492234,2.4749999999999996,1.815686274509804,3.4063626122492234,3.0,1.7,2.4
7.0,8.8,4.880343916700775,2.3625,1.8611111111111112,5.116593916700775,1.8,2.4,2.1
7.8,8.5,6.400000000000001,3.05,1.9061403508771932,6.705000000000001,0.0,3.2,2.8
9.2,5.7,5.951748598845293,2.4625,1.9349999999999998,6.197998598845293,4.9,2.3,2.3
4.6,8.3,2.773887288910255,2.0375,1.9452380952380952,2.977637288910255,1.9,1.5,1.9
6.5,8.3,4.471993666530101,2.125,1.9689393939393938,4.684493666530101,4.1,1.7,2.0
5.7,10.4,4.028865990162791,2.4625,1.9999999999999996,4.27511599016279,1.5,2.0,2.3
6.4,9.6,3.4120941194865444,2.8,2.0277777777777777,3.692094119486544,2.8,1.9,2.6
7.5,9.8,3.4898264668162295,2.8125,2.062,3.7710764668162295,2.1,2.0,2.7
9.2,9.2,4.192155744758968,2.375,2.1006410256410257,4.429655744758968,2.5,2.2,2.2
9.2,9.5,4.90303527539685,2.4625,2.138271604938272,5.14928527539685,3.1,2.1,2.3
8.8,10.3,4.727568782305215,2.3875,2.175595238095238,4.9663187823052155,5.2,2.2,2.3
3.9,13.2,2.5467867814686116,2.4625,2.1988505747126434,2.7930367814686115,1.3,1.8,2.3
5.2,12.2,3.6251824215769672,3.0374999999999996,2.222222222222222,3.928932421576967,2.0,2.1,2.7
6.5,11.5,5.61900257764543,2.375,2.247311827956989,5.85650257764543,1.0,2.8,2.2
8.9,10.3,4.898489080815911,2.4625,2.277083333333333,5.144739080815911,1.7,2.4,2.3
10.7,9.7,5.772986681636898,2.8999999999999995,2.311111111111111,6.0629866816368985,2.4,2.8,2.8
9.9,9.3,5.086815749636349,2.5625,2.337254901960784,5.343065749636349,4.4,2.4,2.5
7.8,11.2,5.520790003510205,2.375,2.360952380952381,5.758290003510205,3.7,2.9,2.2
6.7,12.7,4.609287012936272,2.1375,2.3851851851851853,4.823037012936272,2.9,2.3,2.1
4.6,13.5,4.924762960569233,3.0374999999999996,2.4022522522522527,5.228512960569233,0.4,2.6,2.7
6.0,11.2,4.164724918969481,2.7125000000000004,2.414473684210526,4.435974918969481,2.4,2.2,2.5
5.9,11.1,4.955469864432482,2.4875000000000003,2.425213675213675,5.204219864432482,1.2,2.6,2.5
4.8,9.8,3.2609556549660126,2.4749999999999996,2.425416666666667,3.5084556549660126,0.7,1.9,2.4
8.4,8.1,5.837614339948026,2.4749999999999996,2.4333333333333336,6.085114339948025,4.7,2.5,2.4
